Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Jun-03,6,June,2003,1009,1275,3217,17,328
BOS,"Boston, MA: Logan International",Jun-03,6,June,2003,374,495,685,3,66
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Jun-03,6,June,2003,296,477,389,8,78
CLT,"Charlotte, NC: Charlotte Douglas International",Jun-03,6,June,2003,300,472,735,2,54
DCA,"Washington, DC: Ronald Reagan Washington National",Jun-03,6,June,2003,283,268,487,4,58
DEN,"Denver, CO: Denver International",Jun-03,6,June,2003,516,323,664,11,98
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Jun-03,6,June,2003,986,1390,2147,19,258
DTW,"Detroit, MI: Detroit Metro Wayne County",Jun-03,6,June,2003,376,371,570,6,71
EWR,"Newark, NJ: Newark Liberty International",Jun-03,6,June,2003,322,519,1948,10,121
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Jun-03,6,June,2003,247,256,427,5,34
IAD,"Washington, DC: Washington Dulles International",Jun-03,6,June,2003,320,295,573,3,66
IAH,"Houston, TX: George Bush Intercontinental/Houston",Jun-03,6,June,2003,329,730,1405,15,123
JFK,"New York, NY: John F. Kennedy International",Jun-03,6,June,2003,376,226,394,21,28
LAS,"Las Vegas, NV: McCarran International",Jun-03,6,June,2003,511,678,624,17,64
LAX,"Los Angeles, CA: Los Angeles International",Jun-03,6,June,2003,830,765,842,37,97
LGA,"New York, NY: LaGuardia",Jun-03,6,June,2003,302,338,867,4,94
MCO,"Orlando, FL: Orlando International",Jun-03,6,June,2003,368,434,535,3,48
MDW,"Chicago, IL: Chicago Midway International",Jun-03,6,June,2003,180,411,311,12,39
MIA,"Miami, FL: Miami International",Jun-03,6,June,2003,247,210,585,2,66
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Jun-03,6,June,2003,428,376,759,9,106
ORD,"Chicago, IL: Chicago O'Hare International",Jun-03,6,June,2003,801,982,2947,11,157
PDX,"Portland, OR: Portland International",Jun-03,6,June,2003,193,248,213,11,22
PHL,"Philadelphia, PA: Philadelphia International",Jun-03,6,June,2003,338,565,1083,1,64
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Jun-03,6,June,2003,491,569,664,19,41
SAN,"San Diego, CA: San Diego International",Jun-03,6,June,2003,324,349,341,8,30
SEA,"Seattle, WA: Seattle/Tacoma International",Jun-03,6,June,2003,448,552,454,28,36
SFO,"San Francisco, CA: San Francisco International",Jun-03,6,June,2003,416,312,1080,14,59
SLC,"Salt Lake City, UT: Salt Lake City International",Jun-03,6,June,2003,363,290,352,15,36
TPA,"Tampa, FL: Tampa International",Jun-03,6,June,2003,226,327,524,3,42
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Jul-03,7,July,2003,1259,1791,4022,13,367
BOS,"Boston, MA: Logan International",Jul-03,7,July,2003,450,587,609,0,61
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Jul-03,7,July,2003,387,646,544,4,102
CLT,"Charlotte, NC: Charlotte Douglas International",Jul-03,7,July,2003,335,542,945,0,74
DCA,"Washington, DC: Ronald Reagan Washington National",Jul-03,7,July,2003,343,270,573,3,74
DEN,"Denver, CO: Denver International",Jul-03,7,July,2003,562,434,646,2,111
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Jul-03,7,July,2003,1216,1443,2081,18,244
DTW,"Detroit, MI: Detroit Metro Wayne County",Jul-03,7,July,2003,475,448,816,4,145
EWR,"Newark, NJ: Newark Liberty International",Jul-03,7,July,2003,410,706,1665,11,125
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Jul-03,7,July,2003,262,328,412,6,35
IAD,"Washington, DC: Washington Dulles International",Jul-03,7,July,2003,395,406,671,10,84
IAH,"Houston, TX: George Bush Intercontinental/Houston",Jul-03,7,July,2003,441,960,1506,9,115
JFK,"New York, NY: John F. Kennedy International",Jul-03,7,July,2003,347,231,455,12,39
LAS,"Las Vegas, NV: McCarran International",Jul-03,7,July,2003,560,760,570,8,99
LAX,"Los Angeles, CA: Los Angeles International",Jul-03,7,July,2003,864,807,557,12,141
LGA,"New York, NY: LaGuardia",Jul-03,7,July,2003,336,434,1060,0,105
MCO,"Orlando, FL: Orlando International",Jul-03,7,July,2003,451,519,797,3,63
MDW,"Chicago, IL: Chicago Midway International",Jul-03,7,July,2003,236,559,637,14,86
MIA,"Miami, FL: Miami International",Jul-03,7,July,2003,315,268,588,4,41
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Jul-03,7,July,2003,531,428,860,6,108
ORD,"Chicago, IL: Chicago O'Hare International",Jul-03,7,July,2003,961,1728,4305,8,258
PDX,"Portland, OR: Portland International",Jul-03,7,July,2003,224,332,126,7,26
PHL,"Philadelphia, PA: Philadelphia International",Jul-03,7,July,2003,399,634,1130,1,93
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Jul-03,7,July,2003,593,743,498,8,66
SAN,"San Diego, CA: San Diego International",Jul-03,7,July,2003,381,386,340,3,44
SEA,"Seattle, WA: Seattle/Tacoma International",Jul-03,7,July,2003,506,637,421,26,67
SFO,"San Francisco, CA: San Francisco International",Jul-03,7,July,2003,473,365,539,10,76
SLC,"Salt Lake City, UT: Salt Lake City International",Jul-03,7,July,2003,404,284,330,9,65
TPA,"Tampa, FL: Tampa International",Jul-03,7,July,2003,248,395,445,3,44
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Aug-03,8,August,2003,1220,1766,4475,9,361
BOS,"Boston, MA: Logan International",Aug-03,8,August,2003,481,698,978,0,100
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Aug-03,8,August,2003,396,668,734,6,127
CLT,"Charlotte, NC: Charlotte Douglas International",Aug-03,8,August,2003,349,511,928,1,90
DCA,"Washington, DC: Ronald Reagan Washington National",Aug-03,8,August,2003,338,327,795,3,89
DEN,"Denver, CO: Denver International",Aug-03,8,August,2003,544,362,560,3,111
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Aug-03,8,August,2003,1178,1350,2138,17,269
DTW,"Detroit, MI: Detroit Metro Wayne County",Aug-03,8,August,2003,459,442,1034,6,155
EWR,"Newark, NJ: Newark Liberty International",Aug-03,8,August,2003,488,713,2528,7,144
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Aug-03,8,August,2003,279,396,489,9,46
IAD,"Washington, DC: Washington Dulles International",Aug-03,8,August,2003,378,447,849,9,129
IAH,"Houston, TX: George Bush Intercontinental/Houston",Aug-03,8,August,2003,425,587,1132,5,144
JFK,"New York, NY: John F. Kennedy International",Aug-03,8,August,2003,403,380,856,15,64
LAS,"Las Vegas, NV: McCarran International",Aug-03,8,August,2003,576,747,480,7,75
LAX,"Los Angeles, CA: Los Angeles International",Aug-03,8,August,2003,796,761,622,11,139
LGA,"New York, NY: LaGuardia",Aug-03,8,August,2003,419,500,1421,1,125
MCO,"Orlando, FL: Orlando International",Aug-03,8,August,2003,450,584,757,6,82
MDW,"Chicago, IL: Chicago Midway International",Aug-03,8,August,2003,205,446,414,15,72
MIA,"Miami, FL: Miami International",Aug-03,8,August,2003,293,314,696,10,70
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Aug-03,8,August,2003,533,438,639,9,104
ORD,"Chicago, IL: Chicago O'Hare International",Aug-03,8,August,2003,1017,1512,3461,12,237
PDX,"Portland, OR: Portland International",Aug-03,8,August,2003,194,336,128,5,29
PHL,"Philadelphia, PA: Philadelphia International",Aug-03,8,August,2003,442,695,1317,0,132
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Aug-03,8,August,2003,607,719,509,20,87
SAN,"San Diego, CA: San Diego International",Aug-03,8,August,2003,375,382,256,2,48
SEA,"Seattle, WA: Seattle/Tacoma International",Aug-03,8,August,2003,482,730,364,24,57
SFO,"San Francisco, CA: San Francisco International",Aug-03,8,August,2003,517,385,869,10,94
SLC,"Salt Lake City, UT: Salt Lake City International",Aug-03,8,August,2003,440,326,381,15,112
TPA,"Tampa, FL: Tampa International",Aug-03,8,August,2003,265,350,450,2,61
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Sep-03,9,September,2003,700,807,2267,4,161
BOS,"Boston, MA: Logan International",Sep-03,9,September,2003,287,413,675,1,23
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Sep-03,9,September,2003,238,289,358,2,41
CLT,"Charlotte, NC: Charlotte Douglas International",Sep-03,9,September,2003,169,271,475,0,14
DCA,"Washington, DC: Ronald Reagan Washington National",Sep-03,9,September,2003,231,161,470,1,28
DEN,"Denver, CO: Denver International",Sep-03,9,September,2003,319,204,336,3,41
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Sep-03,9,September,2003,654,751,1027,2,125
DTW,"Detroit, MI: Detroit Metro Wayne County",Sep-03,9,September,2003,296,236,562,1,52
EWR,"Newark, NJ: Newark Liberty International",Sep-03,9,September,2003,247,483,3818,2,147
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Sep-03,9,September,2003,143,164,385,1,9
IAD,"Washington, DC: Washington Dulles International",Sep-03,9,September,2003,221,241,470,1,29
IAH,"Houston, TX: George Bush Intercontinental/Houston",Sep-03,9,September,2003,291,498,1094,5,71
JFK,"New York, NY: John F. Kennedy International",Sep-03,9,September,2003,245,159,473,3,19
LAS,"Las Vegas, NV: McCarran International",Sep-03,9,September,2003,374,445,370,2,18
LAX,"Los Angeles, CA: Los Angeles International",Sep-03,9,September,2003,542,416,479,6,53
LGA,"New York, NY: LaGuardia",Sep-03,9,September,2003,223,283,1099,0,77
MCO,"Orlando, FL: Orlando International",Sep-03,9,September,2003,212,250,371,1,19
MDW,"Chicago, IL: Chicago Midway International",Sep-03,9,September,2003,133,259,224,2,15
MIA,"Miami, FL: Miami International",Sep-03,9,September,2003,156,125,479,0,25
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Sep-03,9,September,2003,317,228,755,3,90
ORD,"Chicago, IL: Chicago O'Hare International",Sep-03,9,September,2003,573,892,3323,4,99
PDX,"Portland, OR: Portland International",Sep-03,9,September,2003,133,142,144,2,6
PHL,"Philadelphia, PA: Philadelphia International",Sep-03,9,September,2003,207,361,1198,0,40
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Sep-03,9,September,2003,369,404,347,2,15
SAN,"San Diego, CA: San Diego International",Sep-03,9,September,2003,227,161,177,1,19
SEA,"Seattle, WA: Seattle/Tacoma International",Sep-03,9,September,2003,292,308,352,3,18
SFO,"San Francisco, CA: San Francisco International",Sep-03,9,September,2003,339,233,765,6,27
SLC,"Salt Lake City, UT: Salt Lake City International",Sep-03,9,September,2003,269,171,260,6,23
TPA,"Tampa, FL: Tampa International",Sep-03,9,September,2003,135,197,283,-1,11
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Oct-03,10,October,2003,756,906,3355,4,170
BOS,"Boston, MA: Logan International",Oct-03,10,October,2003,348,382,539,4,13
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Oct-03,10,October,2003,280,412,334,6,18
CLT,"Charlotte, NC: Charlotte Douglas International",Oct-03,10,October,2003,180,239,420,1,8
DCA,"Washington, DC: Ronald Reagan Washington National",Oct-03,10,October,2003,226,172,374,2,18
DEN,"Denver, CO: Denver International",Oct-03,10,October,2003,451,296,419,8,24
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Oct-03,10,October,2003,700,635,892,11,79
DTW,"Detroit, MI: Detroit Metro Wayne County",Oct-03,10,October,2003,294,243,600,5,21
EWR,"Newark, NJ: Newark Liberty International",Oct-03,10,October,2003,296,324,1710,6,54
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Oct-03,10,October,2003,153,177,192,5,5
IAD,"Washington, DC: Washington Dulles International",Oct-03,10,October,2003,280,309,510,7,67
IAH,"Houston, TX: George Bush Intercontinental/Houston",Oct-03,10,October,2003,291,351,964,10,42
JFK,"New York, NY: John F. Kennedy International",Oct-03,10,October,2003,201,156,373,7,16
LAS,"Las Vegas, NV: McCarran International",Oct-03,10,October,2003,429,573,800,9,32
LAX,"Los Angeles, CA: Los Angeles International",Oct-03,10,October,2003,612,578,1112,12,150
LGA,"New York, NY: LaGuardia",Oct-03,10,October,2003,281,260,808,2,27
MCO,"Orlando, FL: Orlando International",Oct-03,10,October,2003,267,249,298,1,4
MDW,"Chicago, IL: Chicago Midway International",Oct-03,10,October,2003,151,336,361,5,14
MIA,"Miami, FL: Miami International",Oct-03,10,October,2003,177,118,288,0,19
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Oct-03,10,October,2003,363,202,819,8,22
ORD,"Chicago, IL: Chicago O'Hare International",Oct-03,10,October,2003,673,896,2951,9,38
PDX,"Portland, OR: Portland International",Oct-03,10,October,2003,147,245,255,3,4
PHL,"Philadelphia, PA: Philadelphia International",Oct-03,10,October,2003,256,312,890,2,16
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Oct-03,10,October,2003,450,566,530,11,19
SAN,"San Diego, CA: San Diego International",Oct-03,10,October,2003,238,280,324,7,44
SEA,"Seattle, WA: Seattle/Tacoma International",Oct-03,10,October,2003,363,425,898,2,19
SFO,"San Francisco, CA: San Francisco International",Oct-03,10,October,2003,379,285,757,7,32
SLC,"Salt Lake City, UT: Salt Lake City International",Oct-03,10,October,2003,326,216,325,7,34
TPA,"Tampa, FL: Tampa International",Oct-03,10,October,2003,177,210,201,3,5
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Nov-03,11,November,2003,789,888,2773,6,155
BOS,"Boston, MA: Logan International",Nov-03,11,November,2003,311,414,418,0,22
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Nov-03,11,November,2003,291,408,380,2,20
CLT,"Charlotte, NC: Charlotte Douglas International",Nov-03,11,November,2003,201,314,397,0,12
DCA,"Washington, DC: Ronald Reagan Washington National",Nov-03,11,November,2003,232,289,387,2,21
DEN,"Denver, CO: Denver International",Nov-03,11,November,2003,679,387,822,9,91
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Nov-03,11,November,2003,825,1028,1632,9,167
DTW,"Detroit, MI: Detroit Metro Wayne County",Nov-03,11,November,2003,354,348,670,2,87
EWR,"Newark, NJ: Newark Liberty International",Nov-03,11,November,2003,252,567,2278,3,175
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Nov-03,11,November,2003,188,261,288,5,17
IAD,"Washington, DC: Washington Dulles International",Nov-03,11,November,2003,250,363,578,1,38
IAH,"Houston, TX: George Bush Intercontinental/Houston",Nov-03,11,November,2003,403,562,1629,9,71
JFK,"New York, NY: John F. Kennedy International",Nov-03,11,November,2003,215,163,301,8,33
LAS,"Las Vegas, NV: McCarran International",Nov-03,11,November,2003,478,739,1541,6,50
LAX,"Los Angeles, CA: Los Angeles International",Nov-03,11,November,2003,770,703,1746,11,66
LGA,"New York, NY: LaGuardia",Nov-03,11,November,2003,280,381,1363,0,99
MCO,"Orlando, FL: Orlando International",Nov-03,11,November,2003,285,336,360,3,21
MDW,"Chicago, IL: Chicago Midway International",Nov-03,11,November,2003,165,393,664,4,87
MIA,"Miami, FL: Miami International",Nov-03,11,November,2003,186,165,370,3,22
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Nov-03,11,November,2003,401,455,1232,4,106
ORD,"Chicago, IL: Chicago O'Hare International",Nov-03,11,November,2003,806,1778,9066,6,202
PDX,"Portland, OR: Portland International",Nov-03,11,November,2003,201,273,296,3,25
PHL,"Philadelphia, PA: Philadelphia International",Nov-03,11,November,2003,218,390,1027,0,54
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Nov-03,11,November,2003,495,652,1108,6,34
SAN,"San Diego, CA: San Diego International",Nov-03,11,November,2003,321,376,564,2,19
SEA,"Seattle, WA: Seattle/Tacoma International",Nov-03,11,November,2003,383,568,819,7,38
SFO,"San Francisco, CA: San Francisco International",Nov-03,11,November,2003,474,384,1735,1,45
SLC,"Salt Lake City, UT: Salt Lake City International",Nov-03,11,November,2003,432,388,726,23,69
TPA,"Tampa, FL: Tampa International",Nov-03,11,November,2003,203,275,259,1,18
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Dec-03,12,December,2003,1303,1408,4277,24,271
BOS,"Boston, MA: Logan International",Dec-03,12,December,2003,435,655,1065,2,60
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Dec-03,12,December,2003,397,638,568,7,40
CLT,"Charlotte, NC: Charlotte Douglas International",Dec-03,12,December,2003,317,523,540,2,25
DCA,"Washington, DC: Ronald Reagan Washington National",Dec-03,12,December,2003,329,367,485,4,41
DEN,"Denver, CO: Denver International",Dec-03,12,December,2003,969,516,629,10,102
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dec-03,12,December,2003,1046,1218,1975,24,221
DTW,"Detroit, MI: Detroit Metro Wayne County",Dec-03,12,December,2003,503,510,996,9,66
EWR,"Newark, NJ: Newark Liberty International",Dec-03,12,December,2003,455,736,2538,15,125
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Dec-03,12,December,2003,337,341,560,16,27
IAD,"Washington, DC: Washington Dulles International",Dec-03,12,December,2003,393,481,595,2,47
IAH,"Houston, TX: George Bush Intercontinental/Houston",Dec-03,12,December,2003,523,718,1483,31,66
JFK,"New York, NY: John F. Kennedy International",Dec-03,12,December,2003,387,401,587,13,33
LAS,"Las Vegas, NV: McCarran International",Dec-03,12,December,2003,646,1001,863,10,85
LAX,"Los Angeles, CA: Los Angeles International",Dec-03,12,December,2003,1223,1065,1145,22,164
LGA,"New York, NY: LaGuardia",Dec-03,12,December,2003,381,599,1696,3,89
MCO,"Orlando, FL: Orlando International",Dec-03,12,December,2003,463,516,577,11,47
MDW,"Chicago, IL: Chicago Midway International",Dec-03,12,December,2003,228,506,522,12,31
MIA,"Miami, FL: Miami International",Dec-03,12,December,2003,364,259,575,13,72
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Dec-03,12,December,2003,585,528,1321,24,76
ORD,"Chicago, IL: Chicago O'Hare International",Dec-03,12,December,2003,1146,2311,8292,11,254
PDX,"Portland, OR: Portland International",Dec-03,12,December,2003,312,405,338,5,38
PHL,"Philadelphia, PA: Philadelphia International",Dec-03,12,December,2003,376,576,1211,2,49
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Dec-03,12,December,2003,728,791,673,12,68
SAN,"San Diego, CA: San Diego International",Dec-03,12,December,2003,491,500,484,5,68
SEA,"Seattle, WA: Seattle/Tacoma International",Dec-03,12,December,2003,552,726,640,8,53
SFO,"San Francisco, CA: San Francisco International",Dec-03,12,December,2003,612,562,2186,13,102
SLC,"Salt Lake City, UT: Salt Lake City International",Dec-03,12,December,2003,846,578,868,21,282
TPA,"Tampa, FL: Tampa International",Dec-03,12,December,2003,328,387,379,3,24
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Jan-04,1,January,2004,1302,1265,4567,15,599
BOS,"Boston, MA: Logan International",Jan-04,1,January,2004,450,699,642,2,85
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Jan-04,1,January,2004,371,611,487,3,60
CLT,"Charlotte, NC: Charlotte Douglas International",Jan-04,1,January,2004,303,498,564,0,47
DCA,"Washington, DC: Ronald Reagan Washington National",Jan-04,1,January,2004,360,343,490,1,76
DEN,"Denver, CO: Denver International",Jan-04,1,January,2004,850,638,930,14,171
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Jan-04,1,January,2004,1078,1439,2752,17,413
DTW,"Detroit, MI: Detroit Metro Wayne County",Jan-04,1,January,2004,629,542,1272,19,103
EWR,"Newark, NJ: Newark Liberty International",Jan-04,1,January,2004,439,642,1729,3,120
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Jan-04,1,January,2004,353,376,544,6,59
IAD,"Washington, DC: Washington Dulles International",Jan-04,1,January,2004,454,505,378,2,72
IAH,"Houston, TX: George Bush Intercontinental/Houston",Jan-04,1,January,2004,465,637,1416,16,103
JFK,"New York, NY: John F. Kennedy International",Jan-04,1,January,2004,430,501,600,10,60
LAS,"Las Vegas, NV: McCarran International",Jan-04,1,January,2004,650,908,965,14,78
LAX,"Los Angeles, CA: Los Angeles International",Jan-04,1,January,2004,944,900,1232,18,183
LGA,"New York, NY: LaGuardia",Jan-04,1,January,2004,445,568,1482,4,213
MCO,"Orlando, FL: Orlando International",Jan-04,1,January,2004,503,518,663,11,87
MDW,"Chicago, IL: Chicago Midway International",Jan-04,1,January,2004,224,560,802,8,83
MIA,"Miami, FL: Miami International",Jan-04,1,January,2004,344,285,593,0,117
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Jan-04,1,January,2004,583,583,1504,16,117
ORD,"Chicago, IL: Chicago O'Hare International",Jan-04,1,January,2004,1248,2501,8999,9,318
PDX,"Portland, OR: Portland International",Jan-04,1,January,2004,267,315,319,11,47
PHL,"Philadelphia, PA: Philadelphia International",Jan-04,1,January,2004,378,601,927,0,63
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Jan-04,1,January,2004,700,786,820,22,89
SAN,"San Diego, CA: San Diego International",Jan-04,1,January,2004,404,419,359,8,49
SEA,"Seattle, WA: Seattle/Tacoma International",Jan-04,1,January,2004,559,722,812,19,104
SFO,"San Francisco, CA: San Francisco International",Jan-04,1,January,2004,640,553,1992,16,113
SLC,"Salt Lake City, UT: Salt Lake City International",Jan-04,1,January,2004,1152,593,1157,35,301
TPA,"Tampa, FL: Tampa International",Jan-04,1,January,2004,281,399,375,3,40
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Feb-04,2,Febuary,2004,1197,1579,7959,13,787
BOS,"Boston, MA: Logan International",Feb-04,2,Febuary,2004,358,484,606,3,61
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Feb-04,2,Febuary,2004,336,543,362,8,44
CLT,"Charlotte, NC: Charlotte Douglas International",Feb-04,2,Febuary,2004,232,422,561,0,29
DCA,"Washington, DC: Ronald Reagan Washington National",Feb-04,2,Febuary,2004,308,265,384,0,65
DEN,"Denver, CO: Denver International",Feb-04,2,Febuary,2004,592,467,605,5,97
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Feb-04,2,Febuary,2004,905,1437,2664,4,306
DTW,"Detroit, MI: Detroit Metro Wayne County",Feb-04,2,Febuary,2004,403,414,790,8,64
EWR,"Newark, NJ: Newark Liberty International",Feb-04,2,Febuary,2004,321,555,1613,10,62
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Feb-04,2,Febuary,2004,331,418,652,3,39
IAD,"Washington, DC: Washington Dulles International",Feb-04,2,Febuary,2004,206,444,295,0,17
IAH,"Houston, TX: George Bush Intercontinental/Houston",Feb-04,2,Febuary,2004,417,680,2089,12,73
JFK,"New York, NY: John F. Kennedy International",Feb-04,2,Febuary,2004,300,288,465,9,43
LAS,"Las Vegas, NV: McCarran International",Feb-04,2,Febuary,2004,561,921,1189,8,159
LAX,"Los Angeles, CA: Los Angeles International",Feb-04,2,Febuary,2004,811,884,866,13,96
LGA,"New York, NY: LaGuardia",Feb-04,2,Febuary,2004,343,496,976,3,116
MCO,"Orlando, FL: Orlando International",Feb-04,2,Febuary,2004,502,492,768,7,59
MDW,"Chicago, IL: Chicago Midway International",Feb-04,2,Febuary,2004,213,470,443,12,30
MIA,"Miami, FL: Miami International",Feb-04,2,Febuary,2004,347,261,565,4,54
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Feb-04,2,Febuary,2004,495,527,1543,14,84
ORD,"Chicago, IL: Chicago O'Hare International",Feb-04,2,Febuary,2004,807,2205,6081,6,163
PDX,"Portland, OR: Portland International",Feb-04,2,Febuary,2004,177,263,209,13,26
PHL,"Philadelphia, PA: Philadelphia International",Feb-04,2,Febuary,2004,280,518,728,0,44
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Feb-04,2,Febuary,2004,633,874,1107,13,61
SAN,"San Diego, CA: San Diego International",Feb-04,2,Febuary,2004,339,416,302,4,38
SEA,"Seattle, WA: Seattle/Tacoma International",Feb-04,2,Febuary,2004,340,534,411,21,26
SFO,"San Francisco, CA: San Francisco International",Feb-04,2,Febuary,2004,463,388,1447,12,53
SLC,"Salt Lake City, UT: Salt Lake City International",Feb-04,2,Febuary,2004,813,492,737,31,163
TPA,"Tampa, FL: Tampa International",Feb-04,2,Febuary,2004,300,437,468,4,36
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Mar-04,3,March,2004,1068,912,3195,7,227
BOS,"Boston, MA: Logan International",Mar-04,3,March,2004,374,578,983,6,35
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Mar-04,3,March,2004,413,589,406,7,16
CLT,"Charlotte, NC: Charlotte Douglas International",Mar-04,3,March,2004,223,437,402,0,12
DCA,"Washington, DC: Ronald Reagan Washington National",Mar-04,3,March,2004,318,296,428,1,41
DEN,"Denver, CO: Denver International",Mar-04,3,March,2004,525,412,453,9,39
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Mar-04,3,March,2004,778,943,1477,12,161
DTW,"Detroit, MI: Detroit Metro Wayne County",Mar-04,3,March,2004,506,504,1159,3,58
EWR,"Newark, NJ: Newark Liberty International",Mar-04,3,March,2004,335,622,2555,10,104
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Mar-04,3,March,2004,323,377,490,7,29
IAD,"Washington, DC: Washington Dulles International",Mar-04,3,March,2004,220,462,390,6,11
IAH,"Houston, TX: George Bush Intercontinental/Houston",Mar-04,3,March,2004,432,611,1720,17,75
JFK,"New York, NY: John F. Kennedy International",Mar-04,3,March,2004,335,350,828,16,23
LAS,"Las Vegas, NV: McCarran International",Mar-04,3,March,2004,557,929,730,8,56
LAX,"Los Angeles, CA: Los Angeles International",Mar-04,3,March,2004,818,877,744,11,104
LGA,"New York, NY: LaGuardia",Mar-04,3,March,2004,386,464,1394,1,127
MCO,"Orlando, FL: Orlando International",Mar-04,3,March,2004,435,490,433,12,43
MDW,"Chicago, IL: Chicago Midway International",Mar-04,3,March,2004,242,529,612,7,36
MIA,"Miami, FL: Miami International",Mar-04,3,March,2004,260,216,359,6,33
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Mar-04,3,March,2004,534,527,1393,10,60
ORD,"Chicago, IL: Chicago O'Hare International",Mar-04,3,March,2004,841,2491,7894,8,180
PDX,"Portland, OR: Portland International",Mar-04,3,March,2004,205,265,210,5,12
PHL,"Philadelphia, PA: Philadelphia International",Mar-04,3,March,2004,296,542,1116,1,34
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Mar-04,3,March,2004,614,817,662,7,44
SAN,"San Diego, CA: San Diego International",Mar-04,3,March,2004,355,392,302,3,38
SEA,"Seattle, WA: Seattle/Tacoma International",Mar-04,3,March,2004,425,554,591,14,27
SFO,"San Francisco, CA: San Francisco International",Mar-04,3,March,2004,433,364,794,5,53
SLC,"Salt Lake City, UT: Salt Lake City International",Mar-04,3,March,2004,500,325,362,13,39
TPA,"Tampa, FL: Tampa International",Mar-04,3,March,2004,290,385,252,3,18
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Apr-04,4,April,2004,1007,924,3550,14,209
BOS,"Boston, MA: Logan International",Apr-04,4,April,2004,399,529,753,1,21
